 (01/11/2016: 14:51:15) :- Error Happened (8) : 	 Undefined variable: institutedetailsArray	/home/sanjay/root/360degrees/files/master/addInstitute.php	 at 327 	in function customErrorHandler () 
 (01/11/2016: 14:51:15) :- Error Happened (8) : 	 Undefined variable: institutedetailsArray	/home/sanjay/root/360degrees/files/master/addInstitute.php	 at 337 	in function customErrorHandler () 
 (01/11/2016: 14:56:47) :- Error Happened (8) : 	 Undefined variable: institutedetailsArray	/home/sanjay/root/360degrees/files/master/addInstitute.php	 at 327 	in function customErrorHandler () 
 (01/11/2016: 14:56:47) :- Error Happened (8) : 	 Undefined variable: institutedetailsArray	/home/sanjay/root/360degrees/files/master/addInstitute.php	 at 337 	in function customErrorHandler () 
 (01/11/2016: 15:03:12) :- Error Happened (8) : 	 Undefined variable: institutedetailsArray	/home/sanjay/root/360degrees/files/master/addInstitute.php	 at 327 	in function customErrorHandler () 
 (01/11/2016: 15:03:12) :- Error Happened (8) : 	 Undefined variable: institutedetailsArray	/home/sanjay/root/360degrees/files/master/addInstitute.php	 at 337 	in function customErrorHandler () 
 (01/11/2016: 15:03:51) :- Error Happened (8) : 	 Undefined variable: institutedetailsArray	/home/sanjay/root/360degrees/files/master/addInstitute.php	 at 327 	in function customErrorHandler () 
 (01/11/2016: 15:03:51) :- Error Happened (8) : 	 Undefined variable: institutedetailsArray	/home/sanjay/root/360degrees/files/master/addInstitute.php	 at 337 	in function customErrorHandler () 
 (01/11/2016: 15:09:03) :- Error Happened (8) : 	 Undefined variable: institutedetailsArray	/home/sanjay/root/360degrees/files/master/addInstitute.php	 at 327 	in function customErrorHandler () 
 (01/11/2016: 15:09:03) :- Error Happened (8) : 	 Undefined variable: institutedetailsArray	/home/sanjay/root/360degrees/files/master/addInstitute.php	 at 337 	in function customErrorHandler () 
 (01/11/2016: 15:09:05) :- Error Happened (8) : 	 Undefined variable: institutedetailsArray	/home/sanjay/root/360degrees/files/master/addInstitute.php	 at 327 	in function customErrorHandler () 
 (01/11/2016: 15:09:05) :- Error Happened (8) : 	 Undefined variable: institutedetailsArray	/home/sanjay/root/360degrees/files/master/addInstitute.php	 at 337 	in function customErrorHandler () 
 (01/11/2016: 15:09:59) :- Error Happened (8) : 	 Undefined variable: institutedetailsArray	/home/sanjay/root/360degrees/files/master/addInstitute.php	 at 327 	in function customErrorHandler () 
 (01/11/2016: 15:09:59) :- Error Happened (8) : 	 Undefined variable: institutedetailsArray	/home/sanjay/root/360degrees/files/master/addInstitute.php	 at 337 	in function customErrorHandler () 
 (01/11/2016: 15:10:27) :- Error Happened (8) : 	 Undefined variable: kery	/home/sanjay/root/360degrees/files/dashboard.php	 at 141 	in function customErrorHandler () 
 (01/11/2016: 15:10:27) :- Error Happened (8) : 	 Undefined variable: kery	/home/sanjay/root/360degrees/files/dashboard.php	 at 141 	in function customErrorHandler () 
 (01/11/2016: 15:10:27) :- Error Happened (8) : 	 Undefined variable: kery	/home/sanjay/root/360degrees/files/dashboard.php	 at 141 	in function customErrorHandler () 
 (01/11/2016: 15:10:27) :- Error Happened (8) : 	 Undefined variable: kery	/home/sanjay/root/360degrees/files/dashboard.php	 at 141 	in function customErrorHandler () 
 (01/11/2016: 15:10:27) :- Error Happened (8) : 	 Undefined variable: kery	/home/sanjay/root/360degrees/files/dashboard.php	 at 141 	in function customErrorHandler () 
 (01/11/2016: 15:10:27) :- Error Happened (8) : 	 Undefined variable: kery	/home/sanjay/root/360degrees/files/dashboard.php	 at 141 	in function customErrorHandler () 
 (01/11/2016: 15:10:27) :- Error Happened (8) : 	 Undefined variable: kery	/home/sanjay/root/360degrees/files/dashboard.php	 at 141 	in function customErrorHandler () 
 (01/11/2016: 15:10:27) :- Error Happened (8) : 	 Undefined variable: kery	/home/sanjay/root/360degrees/files/dashboard.php	 at 141 	in function customErrorHandler () 
 (01/11/2016: 15:10:27) :- Error Happened (8) : 	 Undefined variable: kery	/home/sanjay/root/360degrees/files/dashboard.php	 at 141 	in function customErrorHandler () 
 (01/11/2016: 15:10:27) :- Error Happened (8) : 	 Undefined variable: kery	/home/sanjay/root/360degrees/files/dashboard.php	 at 141 	in function customErrorHandler () 
 (01/11/2016: 15:10:27) :- Error Happened (8) : 	 Undefined variable: kery	/home/sanjay/root/360degrees/files/dashboard.php	 at 141 	in function customErrorHandler () 
 (01/11/2016: 15:10:27) :- Error Happened (8) : 	 Undefined variable: kery	/home/sanjay/root/360degrees/files/dashboard.php	 at 141 	in function customErrorHandler () 
